MEAS_DT,BURST_ID,VIB-TOP,VIB-BOT,CUR-MTR
2024-01-14 19:09:15.119,B24-00010,-0.047404,-0.013069,-39.742951
2024-01-14 19:09:15.219,B24-00010,0.066004,-0.108391,-93.607794
2024-01-14 19:09:15.319,B24-00010,0.082137,-0.077953,-145.53489
2024-01-15 07:56:53.432,B24-00011,-0.01627,0.033408,36.3344
2024-01-15 07:56:53.532,B24-00011,-0.0281,-0.015355,-3.555417
2024-01-15 07:56:53.632,B24-00011,0.065326,0.081318,-53.566939
2024-01-15 07:56:53.732,B24-00011,-0.048207,0.059566,-98.017943
2024-01-15 07:56:53.832,B24-00011,0.049919,0.002595,-105.30104
2024-01-15 07:56:53.932,B24-00011,0.064077,0.056761,-110.43157
2024-01-15 07:56:54.032,B24-00011,-0.069631,-0.043851,-100.84022
2024-01-15 07:56:54.132,B24-00011,0.037783,-0.039968,-82.439075
2024-01-15 07:56:54.232,B24-00011,0.006595,0.129218,-50.327784
2024-01-15 07:56:54.332,B24-00011,0.008514,0.071668,-8.859516
2024-01-15 07:56:54.432,B24-00011,0.108298,-0.007419,34.874682
2024-01-15 07:56:54.532,B24-00011,0.047092,0.037972,88.683735
2024-01-15 07:56:54.632,B24-00011,0.038157,-0.023302,105.77585
2024-01-15 20:44:32.746,B24-00012,-0.047176,-0.071369,233.89557
2024-01-15 20:44:32.846,B24-00012,0.015153,0.147409,197.39439
2024-01-15 20:44:32.946,B24-00012,-0.056372,0.142232,152.39598
2024-01-15 20:44:33.046,B24-00012,-0.016079,-0.057393,85.951577
2024-01-15 20:44:33.146,B24-00012,0.029992,-0.111877,13.532998
2024-01-15 20:44:33.246,B24-00012,-0.095291,-0.130803,-69.730886
2024-01-15 20:44:33.346,B24-00012,-0.012287,0.027507,-140.18358
2024-01-15 20:44:33.446,B24-00012,0.078607,0.210726,-188.84542
2024-01-15 20:44:33.546,B24-00012,-0.042169,0.051644,-230.71566
2024-01-15 20:44:33.646,B24-00012,0.026813,-0.089091,-209.90851
2024-01-15 20:44:33.746,B24-00012,0.042095,-0.101602,-166.97349
2024-01-15 20:44:33.846,B24-00012,-0.164773,-0.134186,-109.05351
2024-01-15 20:44:33.946,B24-00012,-0.010709,0.091278,-37.054424
2024-01-15 20:44:34.046,B24-00012,0.117753,0.216096,39.46269
2024-01-15 20:44:34.146,B24-00012,-0.028784,-0.043269,119.01809
2024-01-15 20:44:34.246,B24-00012,0.05472,-0.11031,169.68276
2024-01-15 20:44:34.346,B24-00012,0.003233,-0.09395,220.01138
2024-01-15 20:44:34.446,B24-00012,-0.11332,-0.054032,222.30473
2024-01-15 20:44:34.546,B24-00012,0.062065,0.208353,182.11987
2024-01-15 20:44:34.646,B24-00012,0.073078,0.148862,133.19518
2024-01-15 20:44:34.746,B24-00012,-0.010891,-0.105917,62.873967
